biomesoplenty:alps	Alps	Alps.png	High mountains coated with snow blocks. This was made to resemble the mountain range located in Central Europe.	https://biomesoplenty.fandom.com/wiki/Alps
biomesoplenty:bayou	Bayou	Bayou.png	A flat marsh biome of willow trees with green murky water.	https://biomesoplenty.fandom.com/wiki/Bayou
biomesoplenty:tundra_bog	Bog	Bog.png	The Bog consists of small Oak and Spruce scrubs, as well as Sweet Berry Bushes. Based on a Cranberry Bog.	https://biomesoplenty.fandom.com/wiki/Bog
biomesoplenty:cherry_blossom_grove	Cherry Blossom Grove	Cherry_Blossom_Grove.png	A beautiful and wondrous biome containing lush-coloured grass with Pink and White Cherry Trees.	https://biomesoplenty.fandom.com/wiki/Cherry_Blossom_Grove
biomesoplenty:coniferous_forest	Coniferous Forest	Coniferous_Forest.png	Gigantic fir tree forests with a cool temperature and dull colored grass.	https://biomesoplenty.fandom.com/wiki/Coniferous_Forest
biomesoplenty:crystalline_chasm	Crystalline Chasm	Crystalline_Caverns.png	Nether biome with crystals	
biomesoplenty:dead_forest	Dead Forest	Dead_Forest.png	Dying forest full of sparsely populated trees.	https://biomesoplenty.fandom.com/wiki/Dead_Forest
biomesoplenty:fungal_jungle	Fungal Jungle	Fungal_Jungle.png	Jungles with Giant Glowshrooms and Oak bushes across the ground.	https://biomesoplenty.fandom.com/wiki/Fungal_Jungle
biomesoplenty:grove	Grove	Grove.png	Beautiful Spruce Pear-Shaped trees make up this biome of green grass.	https://biomesoplenty.fandom.com/wiki/Grove
biomesoplenty:highland	Highland	Highland.png	This biome consists of rough, high terrain with cobblestone boulders and lacks trees.	https://biomesoplenty.fandom.com/wiki/Highland
biomesoplenty:jade_cliffs	Jade Cliffs	Jade_Cliffs.png	Twisting jade-coloured mountain cliffs covered with spruce trees, and spruce bushes.	https://biomesoplenty.fandom.com/wiki/Jade_Cliffs
biomesoplenty:lavender_field	Lavender Fields	Lavender_Fields.png	Beautiful fields of lavender and jacaranda trees, with the occasional oak tree	https://biomesoplenty.fandom.com/wiki/Lavender_Fields
biomesoplenty:lush_desert	Lush Desert	Lush_Desert.png	Desert made of orange sand and flourishing, but messy trees. Unlike deserts, lush deserts have more vegetation.	https://biomesoplenty.fandom.com/wiki/Lush_Desert
biomesoplenty:meadow	Meadow	Meadow.png	A grassy biome with a few spruce trees and bushes scattered around.	https://biomesoplenty.fandom.com/wiki/Meadow
biomesoplenty:mystic_grove	Mystic Grove	Mystic_Grove.png	Majestic grove of purple waters and beautiful enchanted trees. It is rare to find, though.	https://biomesoplenty.fandom.com/wiki/Mystic_Grove
biomesoplenty:ominous_woods	Ominous Woods	Ominous_Woods.png	Dark Purple woods with a special sky and water colour. Several dangerous plants can spawn here. Beware	https://biomesoplenty.fandom.com/wiki/Ominous_Woods
biomesoplenty:orchard	Orchard	Orchard.png	Formerly a sub-biome for the plains, it is now fields of large oak trees and bright grass.	https://biomesoplenty.fandom.com/wiki/Orchard
biomesoplenty:prairie	Prairie	Prairie.png	A biome with light-colored grass and several trees scattered.	https://biomesoplenty.fandom.com/wiki/Prairie
biomesoplenty:rainforest	Rainforest	Rainforest.png	A lush biome with many flowering oak trees.	https://biomesoplenty.fandom.com/wiki/Rainforest
biomesoplenty:redwood_forest	Redwood Forest	Redwood_Forest.png	A forest of tall Redwood Trees and lots of ferns. This was made to resemble the Redwood Forests in Northern California.	https://biomesoplenty.fandom.com/wiki/Redwood_Forest
biomesoplenty:seasonal_forest	Seasonal Forest	Seasonal_Forest.png	Forests of tall birch and oak trees with different colored autumn leaves.	https://biomesoplenty.fandom.com/wiki/Seasonal_Forest
biomesoplenty:scrubland	Scrubland	Scrubland.png	Dry Grassland with mixed Acacia and Spruce scrubs	https://biomesoplenty.fandom.com/wiki/Scrubland
biomesoplenty:shrubland	Shrubland	Shrubland.png	A relatively flat biome with oak shrubs and many allium flowers.	https://biomesoplenty.fandom.com/wiki/Shrubland
biomesoplenty:silkglade	Silkglades	Silkglades.png	A rare swampy biome with many patches of cobwebs on ground and trees. The foliage shows its dark, dull color	https://biomesoplenty.fandom.com/wiki/Silkglades
biomesoplenty:snowy_coniferous_forest	Snowy Coniferous Forest	Snowy_Coniferous_Forest.png	Snowy variant of the Coniferous Forest biome.	https://biomesoplenty.fandom.com/wiki/Snowy_Coniferous_Forest
biomesoplenty:tundra	Tundra	Tundra.png	A snowless wasteland of shrubs and cobblestone.	https://biomesoplenty.fandom.com/wiki/Tundra
biomesoplenty:wasteland	Wasteland	Wasteland.png	A hazy biome with pools of murky brown water. Dead trees also appear in this biome. It is an inhospitable place, and not recommended for beginners.	https://biomesoplenty.fandom.com/wiki/Wasteland
biomesoplenty:wetland	Wetland	Wetland.png	Lush swamps with a deep blue water color and willow trees	https://biomesoplenty.fandom.com/wiki/Wetland
biomesoplenty:gravel_beach	Gravel Beach	Gravel_Beach.png	A beach made entirely of gravel, mainly spawns adjacent to Woodland or other temperate biomes	https://biomesoplenty.fandom.com/wiki/Gravel_Beach
biomesoplenty:origin_valley	Origin Hills	Origin_Hills.png	Where it all started: A perfect replica of the original Minecraft Classic, including roses which were removed in vanilla 1.7.	https://biomesoplenty.fandom.com/wiki/Origin Hills
biomesoplenty:rainbow_hills	Rainbow Valley	Rainbow_Valley.png	A beautiful, but extremely rare island biome with Rainbow Birch Trees all over the place.	https://biomesoplenty.fandom.com/wiki/Rainbow_Valley
biomesoplenty:tropics	Tropics	Tropics.png	A rare island biome with palm trees and bright blue skies. Sub-biome of the Ocean.	https://biomesoplenty.fandom.com/wiki/Tropics
biomesoplenty:volcano	Volcano	Volcano.png	A desolate biome with lots of lava. This biome used to generate in large areas, but can only be found as a rare ocean sub-biome island in later versions. It is dangerous, note the lava and steep incline.	https://biomesoplenty.fandom.com/wiki/Volcano
biomesoplenty:visceral_heap	Visceral Heap	Visceral Heap.png	A nether biome that contains bone columns and flesh tendons.	https://biomesoplenty.fandom.com/wiki/Visceral Heap
biomesoplenty:flower_meadow	Flower Field	Flower_Field.png	A vast expanse of flat terrain with tulips on almost every piece of ground. Replaced with Flower Meadow in 1.13.2.	https://biomesoplenty.fandom.com/wiki/Flower Field
biomesoplenty:dryland	Dryland	Dryland.png	Grass and sand	
biomesoplenty:undergrowth	Undergrowth	Undergrowth.png	Nether Biome, some trees	
biomesoplenty:withered_abyss	Withered Abyss	Withered_Abyss.png	Nether biome.  Blackstone and obsidian ground	
biomesoplenty:wooded_wasteland	Wooded Wasteland	Wooded_Wasteland.png	Dried salt ground, sparse dried trees.  Brownish water	
biomesoplenty:alps_foothills	Alps Foothills	Alps_Foothills.png	Similar to a taiga with fewer trees	
biomesoplenty:redwood_forest_edge	Redwood Forest Edge	Redwood_Edge.png	Some shorter redwood trees	
biomesoplenty:tropic_beach	Tropic Beach	Tropic_Beach.png	White sand, blue waters	
biomesoplenty:volcanic_plains	Volcanic Plains	Volcanic_Plains.png	Nether biome? Ash ground, small shrubs, one-high trees	
byg:allium_fields	Allium Fields	BYG_Allium_Fields.png	A field dedicated to Allium flowers scattered with Red Oaks.  Lush overworld biome with some lakes and red oaks.  Relatively rare usually.  Warm climate	https://oh-the-biomes-youll-go.fandom.com/wiki/Allium_Fields
byg:alps	Alps	BYG_Alps.png	A snow covered mountain inspired by the Alps found in Europe.  Icy mountainous overworld biome with lots of snow.  Surrounded by alpine foothills	https://oh-the-biomes-youll-go.fandom.com/wiki/Alps
byg:amaranth_fields	Amaranth Fields	BYG_Amaranth_Fields.png	A field dedicated to the Amaranth flowers scattered with Jacaranda Trees.  Lush plainslike overworld biome with some lakes and jacaranda forests. Normally rare	https://oh-the-biomes-youll-go.fandom.com/wiki/Amaranth_Fields
byg:ancient_forest	Ancient Forest	BYG_Ancient_Forest.png	An old forest filled with massive ancient trees.  Magical and usually rare.  May have flowering/glowing ancient forest as a subiome.	https://oh-the-biomes-youll-go.fandom.com/wiki/Ancient_Forest
byg:araucaria_savanna	Araucaria Savanna	BYG_Araucaria_Savanna.png	Desert forest biome in the overworld.  Somewhat rare normally.	https://oh-the-biomes-youll-go.fandom.com/wiki/Araucaria_Savanna
byg:aspen_forest	Aspen Forest	BYG_Aspen_Forest.png	Forests inspired by the Aspen trees found in Utah and around the world.	https://oh-the-biomes-youll-go.fandom.com/wiki/Aspen_Forest
byg:autumnal_valley	Autumnal Valley	BYG_Autumnal_Valley.png	An open space scattered with pumpkins.  A cool, dry, plains in the overworld.  May have Cika Woods around it.	https://oh-the-biomes-youll-go.fandom.com/wiki/Autumnal_Valley
byg:baobab_savanna	Baobab Savanna	BYG_Baobab_Savanna.png	A dry desert/savanna with sparse vegetation.  Based on the Baobab trees found in Africa and Australia.	https://oh-the-biomes-youll-go.fandom.com/wiki/Baobab_Savanna
byg:bayou	Bayou	BYG_Bayou.png	A dense swamp filled with Willow Trees and inspired by the Bayous found in the Gulf Coast region of the United States.	https://oh-the-biomes-youll-go.fandom.com/wiki/Bayou
byg:blue_taiga	Blue Taiga	BYG_Blue_Taiga.png	A taiga with Blue Spruce trees.  A cool, coniferous forest in the overworld.  May have hills.	https://oh-the-biomes-youll-go.fandom.com/wiki/Blue_Taiga
byg:bluff_steeps	Bluff Steeps	BYG_Bluff_Steeps.png	A mountainous biome inspired by the Bluff Mountains in Tennessee.  A cool mountainous biome with coniferous trees.	https://oh-the-biomes-youll-go.fandom.com/wiki/Bluff_Steeps
byg:boreal_forest	Boreal Forest	BYG_Boreal_Forest.png	A biome inspired by real world Boreal Forests from around the world.  Top blocks are peat and grass.	https://oh-the-biomes-youll-go.fandom.com/wiki/Boreal_Forest
byg:canyons	Canyons	BYG_Canyons.png	Tall plateaus broken by steep, sheer cliff faces.  Does not spawn by default. Warm grassy climate.	https://oh-the-biomes-youll-go.fandom.com/wiki/Canyons
byg:cherry_blossom_forest	Cherry Blossom Forest	BYG_Cherry_Blossom_Forest.png	A warm overworld forest inspired by the Cherry Blossom forests in Japan.  Similar to the Biomes O'Plenty version, there are two types of trees.	https://oh-the-biomes-youll-go.fandom.com/wiki/Cherry_Blossom_Forest
byg:cika_woods	Cika Woods	BYG_Cika_Woods.png	A cold coniferous forest, the first ever biome created in BYG.  Top blocks are podzol, grass, and coarse dirt.	https://oh-the-biomes-youll-go.fandom.com/wiki/Cika_Woods
byg:cold_swamplands	Cold Swamplands	BYG_Cold_Swamplands.png	A brown and murky swamp found in colder climates around the world.	https://oh-the-biomes-youll-go.fandom.com/wiki/Cold_Swamplands
byg:coniferous_forest	Coniferous Forest	BYG_Coniferous_Forest.png	Another similar biome to Biomes O'Plenty.  Cold forest inspired by coniferous forests from around the world.	https://oh-the-biomes-youll-go.fandom.com/wiki/Coniferous_Forest
byg:crag_gardens	Crag Gardens	BYG_Crag_Gardens.png	An elevated rare and magical rocky biome found in warmer climates with an abundance of Rainbow Eucalyptus Trees.	https://oh-the-biomes-youll-go.fandom.com/wiki/Crag_Gardens
byg:cypress_swamplands	Cypress Swamplands	BYG_Cypress_Swamplands.png	Swamp inspired by the Giant Cypress Swamp found in southern Delaware.	https://oh-the-biomes-youll-go.fandom.com/wiki/Cypress_Swamplands
byg:dead_sea	Dead Sea	BYG_Dead_Sea.png	A thick fog covers this area where nothing grows.  Top blocks are black sand. Somewhat rare ocean biome with a desert climate.  Spooky wasteland.	https://oh-the-biomes-youll-go.fandom.com/wiki/Dead_Sea
byg:deciduous_forest	Deciduous Forest	BYG_Deciduous_Forest.png	A warm overworld forest inspired by the many deciduous forests found around the world.	https://oh-the-biomes-youll-go.fandom.com/wiki/Deciduous_Forest
byg:dover_mountains	Dover Mountains	BYG_Dover_Mountains.png	A unique biome inspired by the White Cliffs of Dover in England filled with Dacite.  A cold coniferous mountain biome.  The top blocks are overgrown dacite, podzol, and more dacite.	https://oh-the-biomes-youll-go.fandom.com/wiki/Dover_Mountains
byg:dunes	Dunes	BYG_Dunes.png	A hilly desert inspired from areas around the world.	https://oh-the-biomes-youll-go.fandom.com/wiki/Dunes
byg:ebony_woods	Ebony Woods	BYG_Ebony_Woods.png	A lush and dense forest filled with Ebony trees and bushes inspired from their native land of India.	https://oh-the-biomes-youll-go.fandom.com/wiki/Ebony_Woods
byg:enchanted_forest	Enchanted Forest	BYG_Enchanted_Forest.png	A warm magical fantasy forest with glowing leaves.  Typically rare.	https://oh-the-biomes-youll-go.fandom.com/wiki/Enchanted_Forest
byg:evergreen_taiga	Evergreen Taiga	BYG_Evergreen_Taiga.png	An evergreen forest filled with Holly trees like those found in Massachusetts.  An icy coniferous forest.	https://oh-the-biomes-youll-go.fandom.com/wiki/Evergreen_Taiga
byg:glowshroom_bayou	Glowshroom Bayou	BYG_Glowshroom_Bayou.png	A rare magical mutation of the Bayou filled with Glowshrooms.	https://oh-the-biomes-youll-go.fandom.com/wiki/Glowshroom_Bayou
byg:grassland_plateau	Grassland Plateau	BYG_Grassland_Plateau.png	A warm plains biome similar to Biome O'Plenty's Highlands.  An elevated and relatively flat plateau scattered with trees and covered in grass.	https://oh-the-biomes-youll-go.fandom.com/wiki/Grassland_Plateau
byg:great_lakes	Great Lakes	BYG_Great_Lakes.png	A vast lake scattered with islands inspired by the Great Lakes found in the northern United States and Canada.	https://oh-the-biomes-youll-go.fandom.com/wiki/Great_Lakes
byg:guiana_shield	Guiana Shield	BYG_Guiana_Shield.png	An elevated jungle based off the Guiana Shield found in South America.	https://oh-the-biomes-youll-go.fandom.com/wiki/Guiana_Shield
byg:jacaranda_forest	Jacaranda Forest	BYG_Jacaranda_Forest.png	A jungle filled with Indigo and Pink Jacaranda trees with occasional bamboo.	https://oh-the-biomes-youll-go.fandom.com/wiki/Jacaranda_Forest
byg:lush_tundra	Lush Tundra	BYG_Lush_Tundra.png	A lush, icy plainslike biome with frozen lakes.	https://oh-the-biomes-youll-go.fandom.com/wiki/Lush_Tundra
byg:mangrove_marshes	Mangrove Marshes	BYG_Mangrove_Marshes.png	Swamp inspired by the several mangrove swamps on shores found across the world.	https://oh-the-biomes-youll-go.fandom.com/wiki/Mangrove_Marshes
byg:maple_taiga	Maple Taiga	BYG_Maple_Taiga.png	A taiga filled with Maple trees like those found in the northeastern United States and southeastern Canada.	https://oh-the-biomes-youll-go.fandom.com/wiki/Maple_Taiga
byg:meadow	Meadow	BYG_Meadow.png	A vibrant green meadow.	https://oh-the-biomes-youll-go.fandom.com/wiki/Meadow
byg:mojave_desert	Mojave Desert	BYG_Mojave_Desert.png	Based off the Mojave Desert found in the American Southwest, this biome is home to the Joshua Tree.  A hot, dry, sandy biome.	https://oh-the-biomes-youll-go.fandom.com/wiki/Mojave_Desert
byg:orchard	Orchard	BYG_Orchard.png	A forest filled with apple orchard trees.	https://oh-the-biomes-youll-go.fandom.com/wiki/Orchard
byg:prairie	Prairie	BYG_Prairie.png	A prairie biome like those founds in the Mississippi River valley.	https://oh-the-biomes-youll-go.fandom.com/wiki/Prairie
byg:red_desert	Red Desert	BYG_Red_Desert.png	A desert full of red sand inspired by the red desert in Wyoming.  Red sand is great for Botania hourglasses too, y'know, but some people just hate pretty, functional flowers.  =(	https://oh-the-biomes-youll-go.fandom.com/wiki/Red_Desert
byg:red_oak_forest	Red Oak Forest	BYG_Red_Oak_Forest.png	An oak forest with red oaks.	https://oh-the-biomes-youll-go.fandom.com/wiki/Red_Oak_Forest
byg:red_rock_mountains	Red Rock Mountains	BYG_Red_Rock_Mountains.png	A mountainous desert biome inspired by the Red Rock Mountains/Canyon outside Las Vegas, Nevada.	https://oh-the-biomes-youll-go.fandom.com/wiki/Red_Rock_Mountains
byg:redwood_tropics	Redwood Tropics	BYG_Redwood_Tropics.png	A dense forest inspired by the unique Redwood trees founds in California.  Normally rarely spawns.	https://oh-the-biomes-youll-go.fandom.com/wiki/Redwood_Tropics
byg:rose_fields	Rose Fields	BYG_Rose_Fields.png	A plain covered with rose bushes and other red flowers.  A warm, lush plains biome.  Typically fairly rare.	https://oh-the-biomes-youll-go.fandom.com/wiki/Rose_Fields
byg:seasonal_birch_forest	Seasonal Birch Forest	BYG_Seasonal_Birch.png	A colorful birch forest that feels like autumn.	https://oh-the-biomes-youll-go.fandom.com/wiki/Seasonal_Birch
byg:seasonal_deciduous_forest	Seasonal Deciduous Forest	BYG_Seasonal_Deciduous.png	A colorful deciduous forest that feels like autumn.  	https://oh-the-biomes-youll-go.fandom.com/wiki/Seasonal_Deciduous
byg:seasonal_forest	Seasonal Forest	BYG_Seasonal_Forest.png	A colorful oak forest that feels like autumn.	https://oh-the-biomes-youll-go.fandom.com/wiki/Seasonal_Forest
byg:seasonal_taiga	Seasonal Taiga	BYG_Seasonal_Taiga.png	A colorful taiga forest that feels like autumn with a mix of Aspen and Pine.	https://oh-the-biomes-youll-go.fandom.com/wiki/Seasonal_Taiga
byg:shattered_glacier	Shattered Glacier	BYG_Shattered_Glacier.png	An interesting biome to find black ice.  Rare, snowy, icy biome.	https://oh-the-biomes-youll-go.fandom.com/wiki/Shattered_Glacier
byg:shrublands	Shrublands	BYG_Shrublands.png	Similar to Biomes O'Plenty's version, it is a dry desertlike plains with sparse trees.  The top blocks are a mix of teracotta, grass, and coarse dirt.  Based off the Sierra Nevada Mountains.	https://oh-the-biomes-youll-go.fandom.com/wiki/Shrublands
byg:sierra_valley	Sierra Valley	BYG_Sierra_Valley.png	A dry, hot desert based off the Sierra Nevada Mountains.	https://oh-the-biomes-youll-go.fandom.com/wiki/Sierra_Valley
byg:skyris_highlands	Skyris Highlands	BYG_Skyris_Highlands.png	An interesting elevated fantasy biome with trees that somehow resemble Acaciasâ€¦ a mutation? Who knows.  An extreme hills biome.	https://oh-the-biomes-youll-go.fandom.com/wiki/Skyris_Highlands
byg:snowy_blue_taiga	Snowy Blue Taiga	BYG_Snowy_Blue_Taiga.png	A snowy variant of the Blue Taiga.	https://oh-the-biomes-youll-go.fandom.com/wiki/Snowy_Blue_Taiga
byg:snowy_coniferous_forest	Snowy Coniferous Forest	BYG_Snowy_Coniferous_Forest.png	A snowy variant of the Coniferous Forest.	https://oh-the-biomes-youll-go.fandom.com/wiki/Snowy_Coniferous_Forest
byg:snowy_deciduous_forest	Snowy Deciduous Forest	BYG_Snowy_Deciduous_Forest.png	A snowy variant of the Deciduous Forest.	https://oh-the-biomes-youll-go.fandom.com/wiki/Snowy_Deciduous_Forest
byg:snowy_evergreen_taiga	Snowy Evergreen Taiga	BYG_Snowy_Evergreen.png	A snowy taiga with evergreens.	https://oh-the-biomes-youll-go.fandom.com/wiki/Snowy_Evergreen
byg:stone_forest	Stone Forest	BYG_Stone_Forest.png	A warm, dense overworld biome with tall plateaus.	https://oh-the-biomes-youll-go.fandom.com/wiki/Stone_Forest
byg:the_black_forest	The Black Forest	BYG_The_Black_Forest.png	Biome inspired by the dense Black Forest found in Germany filled with Pine and scattered with Aspen and conifers.  Top blocks are peat, coarse dirt, and grass.	https://oh-the-biomes-youll-go.fandom.com/wiki/The_Black_Forest
byg:tropical_fungal_forest	Tropical Fungal Rainforest	BYG_Tropical_Fungal_Rainforest.png	A mutated variant of the Tropical Rainforest overgrown with fungi.  A warm, dense magical jungle.	https://oh-the-biomes-youll-go.fandom.com/wiki/Tropical_Fungal_Rainforest
byg:tropical_rainforest	Tropical Rainforest	BYG_Tropical_Rainforest.png	A biome inspired by tropical rainforests from around the world.  Magical.	https://oh-the-biomes-youll-go.fandom.com/wiki/Tropical_Rainforest
byg:twilight_valley	Twilight Valley	BYG_Twilight_Valley.png	A cold magical wasteland.  Somewhat rare normally.  Top blocks are peat and grass.	https://oh-the-biomes-youll-go.fandom.com/wiki/Twilight_Valley
byg:vibrant_swamplands	Vibrant Swamplands	BYG_Vibrant_Swamplands.png	A vibrant swamp that feels full of life.	https://oh-the-biomes-youll-go.fandom.com/wiki/Vibrant_Swamplands
byg:weeping_witch_forest	Weeping Witch Forest	BYG_Weeping_Witch_Forest.png	People say they hear the screams of witches who were killed in Salem, some even claim to have seen witches through its dense fog wandering these woods...	https://oh-the-biomes-youll-go.fandom.com/wiki/Weeping_Witch_Forest
byg:woodlands	Woodlands	BYG_Woodlands.png	A rather dense forest with big bushy trees.  This one is also magical.	https://oh-the-biomes-youll-go.fandom.com/wiki/Woodlands
byg:zelkova_forest	Zelkova Forest	BYG_Zelkova_Forest.png	Uniquely shaped Zelkovas live on this land in high numbers.	https://oh-the-biomes-youll-go.fandom.com/wiki/Zelkova_Forest